name,type,start_time,duration,"mosi","miso"
"SPI","result",0,0.0000076,0x80,0x00
"SPI","result",0.000009,0.0000076,0xD4,0x00
"SPI","result",0.000018,0.0000076,0x00,0x00
"SPI","result",0.000027,0.0000076,0x00,0x00
"SPI","result",0.0000584,0.0000076,0x00,0x00
"SPI","result",0.0000686,0.0000076,0x00,0x00
"SPI","result",0.0000787,0.0000076,0x00,0x00
"SPI","result",0.0000884,0.0000076,0x00,0x00
"SPI","result",0.0000981,0.0000076,0x00,0x00
"SPI","result",0.0001079,0.0000076,0x00,0x00
"SPI","result",0.0001177,0.0000076,0x00,0x00
"SPI","result",0.0001276,0.0000076,0x00,0x00
"SPI","result",0.0001373,0.0000076,0x00,0x00
"SPI","result",0.0001471,0.0000076,0x00,0x00
"SPI","result",0.0001568,0.0000076,0x00,0x00
"SPI","result",0.0001665,0.0000076,0x00,0x00
"SPI","result",0.0001763,0.0000076,0x00,0x01
"SPI","result",0.0001861,0.0000076,0x00,0x81
"SPI","result",0.0002033,0.0000076,0x00,0x00
"SPI","result",0.0002123,0.0000076,0xD4,0x00
"SPI","result",0.0002213,0.0000076,0x00,0x00
"SPI","result",0.0002303,0.0000076,0x00,0x00
"SPI","result",0.0014233,0.0000076,0x00,0x00
"SPI","result",0.0014333,0.0000076,0x00,0x00
"SPI","result",0.0014431,0.0000076,0x00,0x00
"SPI","result",0.0014529,0.0000076,0x00,0x00
"SPI","result",0.0014627,0.0000076,0x00,0x00
"SPI","result",0.0014724,0.0000076,0x00,0x00
"SPI","result",0.0014822,0.0000076,0x00,0x00
"SPI","result",0.0014919,0.0000076,0x00,0x00
"SPI","result",0.0015019,0.0000076,0x00,0x00
"SPI","result",0.0015116,0.0000076,0x00,0x00
"SPI","result",0.0015214,0.0000076,0x00,0x01
"SPI","result",0.0015314,0.0000076,0x02,0x00
"SPI","result",0.0015509,0.0000076,0x80,0x00
"SPI","result",0.0015599,0.0000076,0xD4,0x00
"SPI","result",0.0015689,0.0000076,0x00,0x00
"SPI","result",0.0015779,0.0000076,0x00,0x00
"SPI","result",0.0016014,0.0000076,0x00,0x00
"SPI","result",0.0016113,0.0000076,0x00,0x00
"SPI","result",0.001621,0.0000076,0x00,0x00
"SPI","result",0.0016307,0.0000076,0x00,0x00
"SPI","result",0.0016404,0.0000076,0x00,0x00
"SPI","result",0.0016502,0.0000076,0x00,0x00
"SPI","result",0.00166,0.0000076,0x00,0x00
"SPI","result",0.0016696,0.0000077,0x00,0x00
"SPI","result",0.0016795,0.0000076,0x00,0x00
"SPI","result",0.0016891,0.0000076,0x00,0x00
"SPI","result",0.001699,0.0000076,0x00,0x01
"SPI","result",0.0017091,0.0000076,0x00,0xA1
"SPI","result",0.0017637,0.0000076,0x80,0x00
"SPI","result",0.0017727,0.0000076,0xD4,0x00
"SPI","result",0.0017817,0.0000076,0x00,0x00
"SPI","result",0.0017907,0.0000076,0x18,0x00
"SPI","result",0.0018162,0.0000076,0x00,0x00
"SPI","result",0.001826,0.0000076,0x00,0x00
"SPI","result",0.0018358,0.0000076,0x00,0x00
"SPI","result",0.0018455,0.0000076,0x00,0x00
"SPI","result",0.0018552,0.0000076,0x00,0x00
"SPI","result",0.001865,0.0000076,0x00,0x00
"SPI","result",0.0018747,0.0000076,0x00,0x00
"SPI","result",0.0018845,0.0000076,0x00,0x00
"SPI","result",0.0018943,0.0000076,0x00,0x00
"SPI","result",0.001904,0.0000076,0x00,0x00
"SPI","result",0.0019137,0.0000076,0x00,0x00
"SPI","result",0.0019234,0.0000076,0x00,0x00
"SPI","result",0.0019332,0.0000076,0x00,0x00
"SPI","result",0.001943,0.0000076,0x00,0x01
"SPI","result",0.0019529,0.0000076,0x00,0x84
"SPI","result",0.00197,0.0000076,0x00,0x00
"SPI","result",0.001979,0.0000076,0xD4,0x00
